Designator,Mid X,Mid Y,Rotation,Layer
10UF1,144.061,-78.939,90,top
BL54L15U1,148.249995,-79.249995,90,top
BT2,151.6825,-83.96,0,bottom
C1,158.5,-81,270,top
C_1,154.068,-89,0,top
C_11,151.568,-84.5,0,top
C_12,154.568,-86,0,top
C_13,154.561,-87.5,0,top
C_4,149.5,-86.432,90,top
C_7,153.932,-84.5,180,top
C_8,149.5,-88.43,270,top
C_9,151.5,-89,0,top
D1,142.5,-78.085,270,top
R1,152.935,-82.5,0,top
R2,143.5,-76,180,top
R3,152.935,-80.5,0,top
R_12,147,-86,0,top
R_13,147.5301,-87.2,0,top
R_14,156.988,-84.5,0,top
R_16,147.5301,-89,0,top
R_17,149.568,-84.5,0,top
R_18,147.568,-84.5,180,top
R_19,145,-87.07,90,top
R_2,156.055,-89,0,top
R_20,145,-89.068,270,top
R_6,157.568,-86,180,top
R_7,157.568,-87.5,180,top
U1,151.7,-86.7,0,top
U2,156.09,-81.5,90,top